"invoiceNo","channel","customer","product","category","price","datetime","quantity","amount","category2","cost"
"N12005","s1","c761","p3996","kind12",0,2016-02-11 20:56:54,1,0,"sub1",0
"N12116","s1","c9","p3996","kind12",0,2016-02-05 19:59:33,1,0,"sub1",0
"N12005","s1","c761","p2559","kind12",0,2016-02-11 20:29:54,1,0,"sub1",0
"N11890","s1","c9","p2559","kind12",0,2016-02-18 13:46:19,1,0,"sub1",0
"N11984","s1","c9","p3996","kind12",0,2016-02-15 12:14:24,1,0,"sub1",0
"N11984","s1","c9","p3766","kind12",0,2016-02-15 12:03:26,1,0,"sub1",0
"N11920","s1","c9","p3767","kind12",0,2016-02-01 18:48:26,1,0,"sub5",0
"N12033","s1","c1349","p3768","kind12",0,2016-02-11 17:30:40,1,0,"sub5",0
"N12005","s1","c761","p3768","kind12",0,2016-02-11 20:45:51,2,0,"sub5",0
"N12054","s1","c1114","p3768","kind12",0,2016-02-06 14:00:28,1,0,"sub5",0
"N11938","s1","c3046","p3768","kind12",0,2016-02-04 20:22:19,1,0,"sub5",0
"N11901","s1","c9","p3767","kind12",0,2016-02-04 17:50:09,1,0,"sub5",0
"N11909","s1","c3060","p3767","kind12",0,2016-02-09 21:39:37,1,0,"sub5",0
"N12041","s1","c9","p3768","kind12",0,2016-02-07 11:53:48,1,0,"sub5",0
"N11948","s1","c9","p3768","kind12",0,2016-02-19 19:09:13,1,0,"sub5",0
"N11984","s1","c9","p3768","kind12",0,2016-02-15 12:04:04,1,0,"sub5",0
"N11946","s1","c2","p3768","kind12",0,2016-02-11 18:25:46,1,0,"sub5",0
"N11953","s1","c9","p3767","kind12",0,2016-02-15 18:21:35,1,0,"sub5",0
"N12000","s1","c1803","p3768","kind12",0,2016-02-26 22:08:56,1,0,"sub5",0
"N11916","s1","c9","p3768","kind12",0,2016-02-26 16:12:08,1,0,"sub5",0
"N11941","s1","c2","p3768","kind12",0,2016-02-08 20:05:37,1,0,"sub5",0
"N11984","s1","c9","p3767","kind12",0,2016-02-15 12:22:29,1,0,"sub5",0
"N11887","s1","c3048","p3768","kind12",0,2016-02-09 15:43:02,1,0,"sub5",0
"N11985","s1","c3073","p3768","kind12",0,2016-02-26 13:55:47,1,0,"sub5",0
"N11922","s1","c9","p3767","kind12",0,2016-02-26 16:08:39,1,0,"sub5",0
"N11880","s1","c3045","p3767","kind12",0,2016-02-05 15:12:23,1,0,"sub5",0
"N11900","s1","c9","p3768","kind12",0,2016-02-04 21:23:36,1,0,"sub5",0
"N11962","s1","c9","p3768","kind12",0,2016-02-02 17:31:19,2,0,"sub5",0
"N12069","s1","c9","p3767","kind12",0,2016-02-20 14:14:04,1,0,"sub5",0
"N12004","s1","c429","p3768","kind12",0,2016-02-07 12:09:52,1,0,"sub5",0
"N12017","s1","c9","p3767","kind12",0,2016-02-28 19:22:11,1,0,"sub5",0
"N12015","s1","c598","p3997","kind12",0,2016-02-24 19:36:14,2,0,"sub1",0
"N11904","s1","c3057","p3887","kind12",0,2016-02-16 16:36:21,1,0,"sub5",0
"N11897","s1","c9","p3768","kind12",0,2016-02-06 21:24:43,1,0,"sub5",0
"N11976","s1","c9","p3887","kind12",0,2016-02-02 13:47:48,1,0,"sub5",0
"N11888","s1","c3049","p3768","kind12",0,2016-02-01 21:53:44,1,0,"sub5",0
"N11890","s1","c9","p3772","kind12",0,2016-02-18 13:55:28,1,0,"sub1",0
"N11951","s1","c3066","p3768","kind12",0,2016-02-03 20:03:17,1,0,"sub5",0
"N11916","s1","c9","p3768","kind12",0,2016-02-26 15:48:17,1,0,"sub5",0
"N12010","s1","c2","p3771","kind12",0,2016-02-14 17:44:11,1,0,"sub5",0
"N11903","s1","c3056","p3772","kind12",0,2016-02-13 20:10:36,1,0,"sub1",0
"N11938","s1","c3046","p3768","kind12",0,2016-02-04 20:47:35,1,0,"sub5",0
"N11985","s1","c3073","p3768","kind12",0,2016-02-26 14:08:41,1,0,"sub5",0
"N11944","s1","c189","p3768","kind12",0,2016-02-01 18:44:06,1,0,"sub5",0
"N11962","s1","c9","p3772","kind12",0,2016-02-02 17:28:02,1,0,"sub1",0
"N11880","s1","c3045","p3772","kind12",0,2016-02-05 14:57:28,1,0,"sub1",0
"N12113","s1","c2","p3772","kind12",0,2016-02-02 20:39:13,1,0,"sub1",0
"N11923","s1","c859","p3772","kind12",0,2016-02-29 18:04:22,1,0,"sub1",0
"N11911","s1","c504","p3772","kind12",0,2016-02-10 20:40:06,1,0,"sub1",0
"N12111","s1","c9","p3772","kind12",0,2016-02-05 19:29:37,1,0,"sub1",0
"N11885","s1","c3046","p3768","kind12",0,2016-02-05 12:35:44,1,0,"sub5",0
"N11970","s1","c209","p3772","kind12",0,2016-02-13 16:12:03,1,0,"sub1",0
"N11909","s1","c3060","p3768","kind12",0,2016-02-09 21:33:50,1,0,"sub5",0
"N11983","s1","c9","p3768","kind12",0,2016-02-22 14:02:30,1,0,"sub5",0
"N11930","s1","c2678","p3772","kind12",0,2016-02-11 16:14:39,1,0,"sub1",0
"N12044","s1","c493","p3887","kind12",0,2016-02-06 17:41:08,1,0,"sub5",0
"N11979","s1","c476","p3768","kind12",0,2016-02-26 17:57:54,1,0,"sub5",0
"N11886","s1","c3047","p3772","kind12",0,2016-02-01 21:34:00,2,0,"sub1",0
"N11928","s1","c475","p3772","kind12",0,2016-02-26 16:43:02,1,0,"sub1",0
"N11915","s1","c1650","p3887","kind12",0,2016-02-10 14:07:47,1,0,"sub5",0
"N11966","s1","c1358","p3768","kind12",0,2016-02-01 21:29:33,1,0,"sub5",0
"N11957","s1","c3067","p3772","kind12",0,2016-02-02 21:56:57,1,0,"sub1",0
"N11908","s1","c3052","p3772","kind12",0,2016-02-10 16:05:55,1,0,"sub1",0
"N11920","s1","c9","p3768","kind12",0,2016-02-01 19:13:10,1,0,"sub5",0
"N11933","s1","c1118","p3772","kind12",0,2016-02-01 14:15:13,1,0,"sub1",0
"N12109","s1","c3099","p3887","kind12",0,2016-02-20 12:00:33,1,0,"sub5",0
"N11995","s1","c2502","p3772","kind12",0,2016-02-12 12:28:51,1,0,"sub1",0
"N11949","s1","c1789","p3768","kind12",0,2016-02-26 13:44:16,1,0,"sub5",0
"N11966","s1","c1358","p3768","kind12",0,2016-02-01 21:30:27,1,0,"sub5",0
"N11944","s1","c189","p2335","kind14",130,2016-02-01 18:40:16,1,95,"sub1",62
"N11920","s1","c9","p230","kind14",30,2016-02-01 18:43:18,1,25,"sub1",11
"N12098","s1","c3095","p2334","kind14",200,2016-02-29 17:59:11,2,360,"sub1",125
"N11890","s1","c9","p2776","kind14",345,2016-02-18 13:35:52,1,340,"sub1",256.08
"N11920","s1","c9","p988","kind14",1680,2016-02-01 18:54:42,1,1170,"sub1",559
"N12144","s2","c2","p1442","kind2",790,2016-02-27 14:16:19,1,599,"sub2",398.48
"N12145","s2","c866","p3774","kind2",1290,2016-02-19 11:56:51,1,856,"sub4",600.61
"N12146","s2","c366","p3561","kind2",1690,2016-02-23 20:14:25,1,1122,"sub4",786.84
"N12147","s2","c151","p3189","kind2",2890,2016-02-06 17:41:04,1,1920,"sub1",1345.58
"N12148","s2","c1168","p3313","kind2",1290,2016-02-22 14:45:54,1,770,"sub4",600.62
"N12149","s2","c866","p3774","kind2",1290,2016-02-19 11:43:29,1,856,"sub4",600.61
"N12150","s2","c786","p237","kind2",1090,2016-02-19 19:47:56,1,650,"sub1",507.5
"N12146","s2","c366","p3561","kind2",1690,2016-02-23 20:29:01,1,1122,"sub4",786.84
"N12151","s2","c3108","p362","kind2",1190,2016-02-09 21:31:28,1,903,"sub4",554.06
"N12152","s2","c2551","p1770","kind2",1090,2016-02-08 18:04:02,1,870,"sub3",507.49
"N12153","s2","c3109","p3998","kind2",1890,2016-02-22 21:01:00,1,1255,"sub4",879.96
"N12154","s2","c164","p1442","kind2",790,2016-02-14 21:14:45,1,598,"sub2",398.48
"N12155","s2","c913","p1442","kind2",790,2016-02-10 17:11:03,1,599,"sub2",398.48
"N12156","s2","c3110","p3999","kind2",4890,2016-02-26 17:19:14,1,2930,"sub1",2276.74
"N12157","s2","c9","p2611","kind2",1390,2016-02-16 13:23:09,1,1110,"sub2",701.12
"N12158","s2","c3111","p2780","kind2",1290,2016-02-06 19:01:56,1,770,"sub4",600.62
"N12157","s2","c9","p3358","kind2",2490,2016-02-16 13:05:50,1,1650,"sub4",1159.31
"N12159","s2","c2","p2611","kind2",1390,2016-02-02 21:05:58,1,1055,"sub2",701.12
"N12160","s2","c240","p2611","kind2",1390,2016-02-11 14:03:47,1,1110,"sub2",701.12
"N12154","s2","c164","p1442","kind2",790,2016-02-14 21:38:32,1,598,"sub2",398.48
"N12161","s2","c6","p2504","kind2",1290,2016-02-29 18:43:55,1,770,"sub4",600.62
"N12162","s2","c2448","p2611","kind2",1390,2016-02-05 20:33:29,1,1042,"sub2",701.12
"N12163","s2","c2628","p365","kind2",690,2016-02-02 11:40:47,1,550,"sub3",321.25
"N12164","s2","c3112","p4000","kind2",3290,2016-02-21 20:06:29,1,2500,"sub2",1659.67
"N12165","s2","c1839","p2787","kind2",2490,2016-02-05 22:20:20,1,1740,"sub4",1159.34
"N12166","s2","c220","p3564","kind2",1590,2016-02-15 12:11:33,1,1050,"sub1",740.28
"N12167","s2","c2","p3567","kind2",2490,2016-02-06 13:39:58,1,1654,"sub4",1159.31
"N12168","s2","c2","p365","kind2",690,2016-02-02 15:20:08,1,523,"sub3",321.25
"N12169","s2","c9","p3508","kind2",2490,2016-02-05 21:41:55,1,1892,"sub4",1159.34
"N12170","s2","c3113","p4000","kind2",3290,2016-02-24 15:03:01,1,2500,"sub2",1659.67
"N12171","s2","c2819","p3364","kind2",2890,2016-02-06 13:18:32,1,1920,"sub4",1345.55
"N12152","s2","c2551","p365","kind2",690,2016-02-08 18:07:57,1,550,"sub3",321.26
"N12172","s2","c942","p3567","kind2",2490,2016-02-02 20:54:21,1,1654,"sub4",1159.31
"N12157","s2","c9","p1442","kind2",790,2016-02-16 13:13:18,1,630,"sub2",398.48
"N12173","s2","c3114","p3508","kind2",2490,2016-02-03 19:05:42,1,1890,"sub4",1159.34
"N12157","s2","c9","p3508","kind2",2490,2016-02-16 13:04:18,1,1890,"sub4",1159.34
"N12174","s2","c2764","p3367","kind2",1890,2016-02-04 17:10:30,1,1320,"sub4",879.96
"N12157","s2","c9","p3567","kind2",2490,2016-02-16 13:03:50,1,1650,"sub4",1159.31
"N12156","s2","c3110","p3169","kind2",1690,2016-02-26 17:03:19,1,1120,"sub4",786.86
"N12175","s2","c2","p3568","kind2",2290,2016-02-05 12:18:28,1,1520,"sub1",1066.2
"N12176","s2","c9","p3508","kind2",2490,2016-02-03 20:00:35,1,1890,"sub4",1159.34
"N12157","s2","c9","p4001","kind2",1390,2016-02-16 13:17:38,1,970,"sub4",647.17
"N12157","s2","c9","p3833","kind2",2090,2016-02-16 13:18:34,1,1460,"sub4",973.08
"N12171","s2","c2819","p3365","kind2",990,2016-02-06 13:30:17,1,750,"sub3",460.93
"N12177","s2","c2","p3364","kind2",2890,2016-02-10 21:58:40,1,1920,"sub4",1345.55
"N12163","s2","c2628","p3366","kind2",1290,2016-02-02 11:59:32,1,900,"sub1",600.61
"N12165","s2","c1839","p3362","kind2",1290,2016-02-05 22:25:27,1,900,"sub1",600.61
"N12178","s2","c2412","p3193","kind2",1290,2016-02-06 20:43:44,1,813,"sub1",600.62
"N12147","s2","c151","p3566","kind2",2690,2016-02-06 18:04:18,1,1787,"sub1",1252.43
"N12179","s2","c1453","p3358","kind2",2490,2016-02-09 20:58:54,1,1654,"sub1",1159.31
"N12180","s2","c9","p3358","kind2",2490,2016-02-24 16:37:55,1,1559,"sub4",1159.31
"N12157","s2","c9","p3361","kind2",2690,2016-02-16 13:21:46,1,1787,"sub4",1252.46
"N12181","s2","c1633","p462","kind2",1090,2016-02-01 11:29:08,2,1740,"sub3",507.49
"N12160","s2","c240","p3367","kind2",1890,2016-02-11 14:16:27,1,1320,"sub4",879.96
"N12182","s2","c9","p3195","kind2",4290,2016-02-05 17:28:14,1,2570,"sub1",1997.39
"N12165","s2","c1839","p3314","kind2",2690,2016-02-05 22:10:35,1,1880,"sub4",1252.43
"N12183","s2","c6","p3038","kind2",2290,2016-02-11 12:08:33,1,1739,"sub2",1155.08
"N12184","s2","c548","p3569","kind2",1690,2016-02-07 14:52:54,1,1180,"sub4",786.84
"N12152","s2","c2551","p4002","kind2",1590,2016-02-08 18:05:52,1,1270,"sub4",740.3
"N12185","s2","c773","p3315","kind2",2090,2016-02-06 15:22:57,1,1388,"sub4",973.08
"N12186","s2","c3115","p2198","kind2",1490,2016-02-19 21:59:40,1,1130,"sub1",693.72
"N12156","s2","c3110","p3367","kind2",1890,2016-02-26 17:09:30,1,1255,"sub4",879.96
"N12158","s2","c3111","p4003","kind2",2490,2016-02-06 19:03:49,1,1892,"sub4",1159.34
"N12187","s2","c9","p2198","kind2",1490,2016-02-04 18:17:55,1,1132,"sub3",693.72
"N12188","s2","c9","p3038","kind2",2290,2016-02-02 15:36:23,1,1740,"sub2",1155.08
"N12189","s2","c3116","p4004","kind2",1990,2016-02-24 20:27:00,1,1493,"sub4",926.54
"N12160","s2","c240","p4003","kind2",2490,2016-02-11 14:08:13,1,1990,"sub4",1159.34
"N12190","s2","c3117","p4002","kind2",1590,2016-02-03 22:04:33,1,1270,"sub4",740.3
"N12191","s2","c756","p4003","kind2",2490,2016-02-05 16:19:34,1,1990,"sub4",1159.34
"N12192","s2","c6","p443","kind2",4290,2016-02-11 16:28:05,1,3430,"sub1",2163.71
"N12193","s2","c2925","p3367","kind2",1890,2016-02-01 16:28:12,1,1320,"sub4",879.96
"N12155","s2","c913","p4004","kind2",1990,2016-02-10 17:12:40,1,1511,"sub4",926.54
"N12194","s2","c2819","p3200","kind2",2690,2016-02-06 21:27:00,1,1880,"sub1",1252.46
"N12160","s2","c240","p3005","kind2",1490,2016-02-11 14:11:26,1,890,"sub4",693.74
"N12195","s2","c3118","p4005","kind2",3090,2016-02-20 20:30:36,1,2053,"sub1",1438.67
"N12193","s2","c2925","p271","kind2",1990,2016-02-01 16:20:18,1,1390,"sub4",926.52
"N12196","s2","c586","p271","kind2",1990,2016-02-05 16:39:37,1,1320,"sub4",926.52
"N12197","s2","c2187","p3370","kind2",1990,2016-02-03 16:57:17,1,1321,"sub4",926.52
"N12176","s2","c9","p3582","kind2",180,2016-02-03 20:15:18,1,136,"sub3",83.81
"N12198","s2","c3119","p3004","kind2",2490,2016-02-29 15:46:08,1,1654,"sub4",1159.34
"N12187","s2","c9","p3003","kind2",1390,2016-02-04 18:13:01,1,922,"sub4",647.16
"N12199","s2","c2","p4005","kind2",3090,2016-02-07 14:47:26,1,2050,"sub1",1438.67
"N12157","s2","c9","p3572","kind2",6290,2016-02-16 13:08:15,1,3770,"sub4",2928.57
"N12156","s2","c3110","p3576","kind2",2290,2016-02-26 17:02:11,1,1520,"sub4",1066.22
"N12200","s2","c9","p2787","kind2",2490,2016-02-24 16:32:21,1,1655,"sub4",1159.31
"N12161","s2","c6","p2071","kind2",1090,2016-02-29 18:40:49,1,722,"sub1",507.49
"N12182","s2","c9","p2787","kind2",2490,2016-02-05 17:24:18,1,1740,"sub4",1159.31
"N12201","s2","c2","p2787","kind2",2490,2016-02-29 18:02:54,1,1654,"sub4",1159.34
"N12202","s2","c1844","p3374","kind2",7590,2016-02-05 16:24:12,1,4550,"sub4",3533.83
"N12202","s2","c1844","p3374","kind2",7590,2016-02-05 16:44:27,1,4550,"sub4",3533.83
"N12203","s2","c9","p1684","kind2",2990,2016-02-23 12:21:16,1,1973,"sub4",1392.14
"N12174","s2","c2764","p271","kind2",1990,2016-02-04 17:07:40,1,1390,"sub4",926.52
"N12204","s2","c184","p3197","kind2",2490,2016-02-08 20:29:28,1,1654,"sub1",1159.31
"N12205","s2","c3120","p3582","kind2",180,2016-02-28 16:42:36,1,133,"sub3",83.81
"N12206","s2","c3121","p3003","kind2",1390,2016-02-09 14:50:35,1,922,"sub4",647.16
"N12207","s2","c3122","p3784","kind2",4690,2016-02-09 15:47:18,1,2810,"sub1",2183.63
"N12208","s2","c3123","p3206","kind2",1990,2016-02-06 19:37:20,1,1390,"sub4",926.54
"N12203","s2","c9","p3204","kind2",2690,2016-02-23 12:30:22,1,1780,"sub4",1252.46
"N12209","s2","c653","p3006","kind2",1890,2016-02-13 14:55:16,1,1255,"sub4",879.98
"N12210","s2","c3120","p3006","kind2",1890,2016-02-28 16:47:25,1,1255,"sub4",879.98
"N12211","s2","c523","p3577","kind2",890,2016-02-18 19:56:12,1,675,"sub3",414.38
"N12212","s2","c1963","p3312","kind2",1090,2016-02-19 11:39:04,1,722,"sub1",507.5
"N12205","s2","c3120","p3582","kind2",180,2016-02-28 16:41:32,1,133,"sub3",83.81
"N12158","s2","c3111","p4005","kind2",3090,2016-02-06 18:55:09,1,2053,"sub1",1438.67
"N12213","s2","c85","p287","kind2",1590,2016-02-25 18:30:07,1,1055,"sub1",740.28
"N12214","s2","c3124","p3787","kind2",2290,2016-02-06 18:48:10,1,1739,"sub4",1066.2
"N12215","s2","c3125","p3786","kind2",2690,2016-02-04 20:25:12,1,1787,"sub4",1252.46
"N12214","s2","c3124","p3787","kind2",2290,2016-02-06 18:57:42,-1,-1739,"sub4",1066.2
"N12167","s2","c2","p3787","kind2",2290,2016-02-06 13:32:49,1,1737,"sub4",1066.2
"N12216","s2","c3126","p3787","kind2",2290,2016-02-27 21:56:43,1,1443,"sub4",1066.2
"N12217","s2","c2","p3791","kind2",2490,2016-02-08 19:24:24,1,1654,"sub1",1159.34
"N12176","s2","c9","p3582","kind2",180,2016-02-03 20:17:33,1,135,"sub3",83.81
"N12218","s2","c3124","p3787","kind2",2290,2016-02-06 17:57:48,1,1740,"sub4",1066.2
"N12219","s2","c2","p3791","kind2",2490,2016-02-04 17:59:57,1,1654,"sub1",1159.34
"N12190","s2","c3117","p3379","kind2",2690,2016-02-03 22:06:00,1,1880,"sub4",1252.43
"N12220","s2","c574","p347","kind2",1990,2016-02-02 20:50:38,1,1511,"sub4",926.52
"N12221","s2","c3122","p3581","kind2",180,2016-02-18 20:14:47,1,135,"sub3",83.81
"N12215","s2","c3125","p3794","kind2",160,2016-02-04 20:39:07,1,120,"sub3",74.5
"N12161","s2","c6","p347","kind2",1990,2016-02-29 18:28:48,1,1492,"sub4",926.52
"N12222","s2","c2185","p3793","kind2",1490,2016-02-28 15:00:31,1,989,"sub1",693.72
"N12223","s2","c2413","p3794","kind2",160,2016-02-06 12:28:45,1,120,"sub3",74.5
"N12224","s2","c2746","p2801","kind2",2090,2016-02-04 20:36:10,1,1460,"sub4",973.1
"N12225","s2","c2","p3794","kind2",160,2016-02-18 14:24:16,1,114,"sub3",74.5
"N12223","s2","c2413","p3794","kind2",160,2016-02-06 12:17:53,1,120,"sub3",74.5
"N12215","s2","c3125","p3794","kind2",160,2016-02-04 20:23:37,1,120,"sub3",74.5
"N12226","s2","c2","p4006","kind2",650,2016-02-19 20:39:38,1,494,"sub3",302.63
"N12227","s2","c1650","p3794","kind2",160,2016-02-10 13:14:23,1,114,"sub3",74.5
"N12228","s2","c1668","p3794","kind2",160,2016-02-18 14:22:32,1,114,"sub3",74.5
"N12229","s2","c1870","p4007","kind2",800,2016-02-06 15:46:15,1,608,"sub1",372.48
"N12230","s2","c561","p4008","kind2",1590,2016-02-28 19:58:04,1,1207,"sub4",740.3
"N12231","s2","c270","p4009","kind2",890,2016-02-18 17:59:48,1,675,"sub4",414.38
"N12232","s2","c270","p4009","kind2",890,2016-02-28 17:14:00,1,675,"sub4",414.38
"N12184","s2","c548","p3795","kind2",2290,2016-02-07 15:08:56,1,1830,"sub4",1066.22
"N12165","s2","c1839","p3798","kind2",1990,2016-02-05 22:37:00,1,1590,"sub4",926.54
"N12233","s2","c3127","p3795","kind2",2290,2016-02-02 14:29:46,1,1830,"sub4",1066.22
"N12234","s2","c3128","p3797","kind2",2490,2016-02-06 13:54:05,1,1890,"sub4",1159.34
"N12233","s2","c3127","p3800","kind2",2290,2016-02-02 14:21:39,1,1830,"sub4",1066.22
"N12160","s2","c240","p3210","kind2",1290,2016-02-11 14:05:15,1,1030,"sub4",600.62
"N12157","s2","c9","p3797","kind2",2490,2016-02-16 13:06:25,1,1990,"sub4",1159.34
"N12235","s2","c3050","p3798","kind2",1990,2016-02-03 21:12:01,1,1510,"sub4",926.54
"N12236","s2","c3129","p3797","kind2",2490,2016-02-29 14:00:22,1,1890,"sub4",1159.34
"N12237","s2","c2175","p2949","kind2",3290,2016-02-28 21:32:06,1,2500,"sub2",1659.48
"N12223","s2","c2413","p3586","kind2",2490,2016-02-06 12:31:36,1,1990,"sub2",1255.86
"N12238","s2","c9","p3586","kind2",2490,2016-02-21 19:52:25,1,1892,"sub2",1255.86
"N12239","s2","c3130","p3587","kind2",2490,2016-02-15 22:12:32,1,1890,"sub2",1255.86
"N12203","s2","c9","p3801","kind2",2090,2016-02-23 12:17:01,1,1547,"sub2",1054.39
"N12240","s2","c159","p4010","kind2",890,2016-02-19 17:57:39,1,675,"sub4",414.19
"N12160","s2","c240","p3376","kind2",2490,2016-02-11 13:55:48,1,1740,"sub4",1159.34
"N12241","s2","c3131","p4011","kind2",1490,2016-02-21 14:40:23,1,1130,"sub4",693.55
"N12242","s2","c3132","p4012","kind2",1090,2016-02-22 14:44:28,1,827,"sub4",507.5
"N12243","s2","c3126","p4013","kind2",1890,2016-02-27 21:55:23,-1,-1435,"sub4",879.79
"N12222","s2","c2185","p4014","kind2",1890,2016-02-28 15:06:41,1,1439,"sub4",879.79
"N12196","s2","c586","p3805","kind2",3090,2016-02-05 16:49:26,1,2348,"sub4",1438.51
"N12224","s2","c2746","p4015","kind2",2290,2016-02-04 20:38:52,1,1830,"sub4",1066.22
"N12244","s2","c111","p4016","kind2",1190,2016-02-12 17:23:11,1,750,"sub4",554.06
"N12245","s2","c2","p4012","kind2",1090,2016-02-24 22:32:08,1,823,"sub4",507.5
"N12245","s2","c2","p396","kind2",1290,2016-02-24 22:21:31,1,977,"sub4",600.62
"N12213","s2","c85","p4016","kind2",1190,2016-02-25 18:52:28,1,903,"sub4",554.06
"N12246","s2","c2703","p469","kind2",1190,2016-02-06 17:18:33,1,900,"sub4",554.06
"N12199","s2","c2","p3805","kind2",3090,2016-02-07 14:37:43,1,2348,"sub4",1438.51
"N12151","s2","c3108","p4013","kind2",1890,2016-02-09 21:14:41,1,1435,"sub4",879.79
"N12208","s2","c3123","p3805","kind2",3090,2016-02-06 19:44:42,1,2345,"sub4",1438.51
"N12216","s2","c3126","p4013","kind2",1890,2016-02-27 22:04:05,1,1191,"sub4",879.79
"N12233","s2","c3127","p4017","kind2",3290,2016-02-02 14:08:00,1,2630,"sub4",1531.82
"N12247","s2","c2","p469","kind2",1190,2016-02-01 17:54:31,1,890,"sub4",554.06
"N12248","s2","c3133","p4016","kind2",1190,2016-02-29 20:15:41,1,900,"sub4",554.06
"N12249","s2","c1672","p249","kind2",2690,2016-02-10 14:31:38,1,1695,"sub4",1252.46
"N12250","s2","c9","p3589","kind2",2290,2016-02-14 20:02:32,1,1521,"sub4",1066.2
"N12251","s2","c2363","p994","kind2",2690,2016-02-12 12:46:33,1,2044,"sub4",1252.46
"N12252","s2","c2","p3590","kind2",3690,2016-02-18 21:50:15,1,2453,"sub4",1718.03
"N12253","s2","c3134","p287","kind2",1490,2016-02-06 18:36:34,1,989,"sub4",693.72
"N12254","s2","c221","p3015","kind2",300,2016-02-05 19:27:49,1,227,"sub3",139.68
"N12209","s2","c653","p3010","kind2",890,2016-02-13 14:42:54,1,589,"sub1",414.37
"N12255","s2","c3135","p2735","kind2",990,2016-02-16 21:41:50,1,656,"sub4",460.93
"N12256","s2","c3136","p3388","kind2",1090,2016-02-08 17:48:44,1,722,"sub4",507.49
"N12237","s2","c2175","p3560","kind2",1690,2016-02-28 21:35:04,1,1121,"sub4",786.84
"N12222","s2","c2185","p3209","kind2",2290,2016-02-28 14:46:10,1,1521,"sub1",1066.2
"N12237","s2","c2175","p3010","kind2",890,2016-02-28 21:29:08,1,589,"sub1",414.37
"N12257","s2","c6","p1432","kind2",2490,2016-02-22 17:44:52,1,1655,"sub4",1159.31
"N12218","s2","c3124","p3811","kind2",5890,2016-02-06 18:07:05,1,3530,"sub1",2742.38
"N12253","s2","c3134","p287","kind2",1490,2016-02-06 18:39:40,1,989,"sub4",693.72
"N12258","s2","c866","p403","kind2",1590,2016-02-20 19:40:07,1,1055,"sub4",740.11
"N12259","s2","c6","p287","kind2",1490,2016-02-13 17:37:56,1,984,"sub1",693.72
"N12150","s2","c786","p3390","kind2",1090,2016-02-19 19:58:53,1,650,"sub4",507.5
"N12222","s2","c2185","p3137","kind2",1890,2016-02-28 15:03:06,1,1255,"sub4",879.96
"N12229","s2","c1870","p3161","kind2",160,2016-02-06 16:14:22,2,228,"sub3",74.5
"N12254","s2","c221","p3161","kind2",160,2016-02-05 19:13:57,1,114,"sub3",74.5
"N12174","s2","c2764","p3924","kind2",160,2016-02-04 17:28:05,1,120,"sub3",74.5
"N12201","s2","c2","p347","kind2",1990,2016-02-29 18:11:33,1,1511,"sub4",926.52
"N12208","s2","c3123","p3384","kind2",3690,2016-02-06 19:24:33,1,2580,"sub1",1718.03
"N12174","s2","c2764","p3794","kind2",160,2016-02-04 17:25:43,2,240,"sub3",74.5
"N12260","s2","c6","p347","kind2",1990,2016-02-26 17:20:28,1,1510,"sub4",926.52
"N12261","s2","c158","p3161","kind2",160,2016-02-28 19:36:21,1,119,"sub3",74.5
"N12262","s2","c3137","p3161","kind2",160,2016-02-21 11:34:20,1,114,"sub3",74.5
"N12263","s2","c6","p4018","kind2",1190,2016-02-18 16:02:17,1,900,"sub4",554.06
"N12264","s2","c9","p3592","kind2",150,2016-02-23 20:23:59,1,114,"sub3",69.84
"N12265","s2","c3138","p3161","kind2",160,2016-02-14 18:10:03,1,114,"sub3",74.5
"N12266","s2","c2","p1457","kind2",590,2016-02-23 19:54:33,1,447,"sub3",274.7
"N12267","s2","c9","p994","kind2",2690,2016-02-19 21:15:38,1,2044,"sub4",1252.46
"N12181","s2","c1633","p3593","kind2",590,2016-02-01 11:17:05,1,470,"sub3",274.7
"N12181","s2","c1633","p1457","kind2",590,2016-02-01 11:43:12,1,470,"sub3",274.7
"N12222","s2","c2185","p1000","kind2",1290,2016-02-28 14:52:00,1,856,"sub1",600.62
"N12157","s2","c9","p2072","kind2",1090,2016-02-16 13:33:04,1,720,"sub1",507.5
"N12152","s2","c2551","p1001","kind2",1290,2016-02-08 18:05:51,1,1030,"sub4",600.62
"N12268","s2","c3139","p1763","kind2",1090,2016-02-10 20:25:28,1,722,"sub1",507.5
"N12269","s2","c1482","p1000","kind2",1290,2016-02-22 14:18:21,1,813,"sub1",600.62
"N12181","s2","c1633","p3105","kind2",1490,2016-02-01 11:23:45,2,2080,"sub3",693.74
"N12152","s2","c2551","p265","kind2",200,2016-02-08 18:09:18,1,160,"sub3",93.12
"N12270","s2","c1644","p3043","kind2",3090,2016-02-10 17:37:44,1,2348,"sub1",1558.48
"N12271","s2","c2","p513","kind2",3490,2016-02-13 20:29:33,1,2650,"sub2",1760.36
"N12215","s2","c3125","p513","kind2",3490,2016-02-04 20:26:23,1,2652,"sub2",1760.36
"N12225","s2","c2","p513","kind2",3490,2016-02-18 14:16:24,1,2650,"sub2",1760.36
"N12160","s2","c240","p3393","kind2",1790,2016-02-11 14:24:56,1,1250,"sub4",833.4
"N12272","s2","c3140","p513","kind2",3490,2016-02-26 14:10:02,1,2652,"sub2",1760.36
"N12273","s2","c156","p513","kind2",3490,2016-02-09 15:04:54,1,2650,"sub2",1760.36
